,mkt_cap,PB_ratio,ROE,Asset_growth
MMM,102881837056,7.12083,0.46612000000000003,0.06012225979085972
ABT,209033216000,6.1843076,0.19658001,0.06865821143959816
ABBV,195927261184,15.586954,0.48855000000000004,0.689558435729114
ABMD,15442881536,11.810231,0.12818000000000002,0.22844692230419028
ACN,206376632320,10.575364,0.31868,0.16444124511412817
ATVI,60163493888,3.6941884,0.17412001,0.164474678760393
ADBE,275469172736,19.11895,0.44697000000000003,0.16963683652827277
AMD,129120649216,18.277815,0.66268,0.4867285998672859
AAP,13513650176,4.0903893,0.1776,0.05255008990067589
AES,16052612096,7.223388,-0.0374,0.028382073228720772
AFL,36810764288,1.1484065,0.18386999,0.08063206954335977
A,47325691904,9.857833,0.19945998,0.018514600084638122
APD,59721986048,4.5797615,0.15460000000000002,0.3286578541715057
AKAM,16938432512,3.970836,0.13941,0.1080714029028016
ALK,7496386048,2.6074536,-0.35501000000000005,0.08104363888247512
ALB,25947301888,4.515264,0.08828000000000001,0.059840908447871044
ARE,28782845952,2.1878996,0.07214000000000001,0.24128622256824617
ALGN,52341735424,15.423594,0.14668,0.9313308822882536
ALLE,11835717632,16.277687,0.6369100000000001,0.03444324615799399
LNT,14172649472,2.4579212999999998,0.10541,0.06041554397940252
ALL,38117826560,1.5498459,0.27090000000000003,0.05032930387661527
GOOGL,1884591357952,8.124163,0.28290000000000004,0.1584109253413264
GOOG,1830072221696,8.121858,0.28290000000000004,0.1584109253413264
MO,86420258816,29.548634,0.9945200000000001,-0.03768951310101276
AMZN,1665494679552,16.109415,0.31229,0.4259616067623242
AMCR,18254792704,3.5544881999999998,0.18285999,-0.042114768424118876
AEE,21139343360,2.3103564,0.103970006,0.10704040369128687
AAL,12936694784,-1.8838932031338287,1.2938692296490462,0.033552796066338875
AEP,42048966656,2.0029042,0.11129000000000001,0.06410268235380934
AXP,140007669760,5.7243733,0.30154000000000003,-0.03506436534708879
AIG,49085665280,0.79038274,0.06719,0.1169705026434873
AMT,120999149568,30.478752,0.42044997,0.10354519457216549
AWK,31964555264,4.754383,0.11498000500000001,0.09187902301384354
AMP,32030347264,5.825744,0.17479,0.09257185762836895
ABC,24592723968,-29.28974367292493,-1.7075,0.1302678598324618
AME,28984952832,4.7355313,0.14819000000000002,0.052102283098714786
AMGN,120150728704,12.888751,0.60785,0.05428174250925344
APH,45179768832,8.265908,0.26123,0.13978087004761686
ADI,61586731008,5.0616875,0.14152999,0.0035508472282594905
ANSS,30390634496,7.389646,0.12430999400000001,0.22767694306562647
ANTM,93201170432,2.7542145,0.12204000000000001,0.11829109266264703
AON,66177753088,15.572665,0.51827997,0.09212718925352825
AOS,10375085056,5.6113862999999995,0.22561,0.03358404185742314
APA,8617784320,55.59860785548387,2.1510699,-0.29607334180151323
AAPL,2391166156800,34.561024,1.27125,-0.04321213768330001
AMAT,116879884288,9.745465,0.49073002,0.1749894869638351
APTV,44572303360,5.629377,0.13878000000000001,0.3018797830448028
ADM,35209400320,1.6903145,0.113170005,0.1300543218855832
ANET,27790292992,8.045251,0.21638000000000002,0.1322797225520813
AJG,30054942720,4.4651065,0.13485,0.13733778800904517
AIZ,9853580288,1.6947757,0.07779000000000001,0.008098674228740776
T,193422589952,1.1687808,-0.0028400002,-0.046962943359151965
ATO,11729119232,1.4996492,0.09584000000000001,0.14897290235456295
ADSK,62268076032,55.180344,2.62266,0.1780946061851667
ADP,88324775936,15.584503,0.45499000000000006,0.24529241296549253
AZO,36275625984,-41.31728519539806,-1.9738239156606607,0.4575584890449218
AVB,31556311040,2.952957,0.09906000000000001,0.004084137425291123
AVY,17708032000,11.200777,0.5040600000000001,0.10842078414225331
BKR,25821018112,1.0516167068698608,-0.015140001,-0.2878450036538065
BLL,30169919488,8.635724,0.26611,0.051382488479262634
BAC,378078396416,1.5178725,0.1018,0.15839584499927906
BBWI,,,-1.2749244712990937,0.14281481481481473
BAX,40519815168,4.792435,0.1328,0.10036827351179034
BDX,70305251328,2.832156,0.08119000500000001,0.04340770791075044
BRK-B,647381123072,0.0009638890000000001,0.24384001,0.06848234561816935
BBY,26948388864,6.4793735,0.59037995,0.22294913732281452
BIO,21903190016,2.0520186,0.42700002000000004,0.6197835421999562
TECH,18994706432,12.326797,0.094560005,0.11608269723301912
BIIB,43325214720,4.057041,0.22143999,-0.09603331093510759
BLK,128480272384,3.6340613,0.16781999,0.049578346834932674
BK,47739977728,1.1813003,0.08151000000000001,0.23099122429935948
BA,132447764480,-7.327677188178146,0.6482310548154618,0.13852946679139388
BKNG,101359362048,21.27513,0.09411000500000001,0.022054013643584724
BWA,10980241408,1.7245536000000001,0.14968,0.6521335807050093
BXP,17708154880,3.0659893,0.049569998000000004,0.07391552839911664
BSX,61980090368,3.9421600999999997,0.016800000000000002,0.006936037951905671
BMY,133133049856,3.5037408,-0.11760000000000001,-0.08821492335159764
AVGO,202636115968,8.459272,0.25320998,0.12505000518572307
BR,19613681664,12.316779,0.37023,0.26003040688535584
BRO,16755863552,4.375828,0.1444,0.1762695201684521
BF-B,31772721152,12.224225,0.38998002,0.1311134235171696
CHRW,11921133568,6.393267,0.34820998000000003,0.10842307576286458
CDNS,42365845504,16.66302,0.28426,0.17680078040643687
CZR,24240390144,5.237172,-0.72277,5.450097500443184
CPB,12786979840,4.3757777,0.2891,-0.05902038332826287
COF,75795972096,1.3611377,0.19621000000000002,0.08001998129955301
CAH,14217251840,7.966184,0.34133,0.09044301623902262
KMX,21429884928,4.910648,0.28465,0.021788968523277052
CCL,29156325376,1.3991886,-0.47143,0.1894225220826491
CARR,46361092096,7.047901393979933,0.43949002000000004,0.11992323484780854
CTLT,22321614848,6.009906,0.15039000000000002,0.1716600231451717
CAT,107229306880,6.469791,0.22304001,-0.001644296585216587
CBOE,13336816640,4.4497046,0.13075,0.27427208197266273
CBRE,33109204992,4.4915986,0.16833,0.11372011550641226
CDW,24880603136,21.290943,0.89165,0.168175113133485
CE,18029164544,5.090152,0.72103995,0.1512241452089489
CNC,37277556736,1.4150151,0.09736,0.6763184856320437
CNP,14103925760,2.3555965,0.10902,-0.057924512370176484
CDAY,17689180160,8.174482,-0.030150002000000002,0.10115516703090854
CERN,21315164160,4.950315,0.19697,0.09086415469912645
CF,13012480000,4.2957296,0.106639996,-0.012241209332895187
CRL,20933810176,9.578303,0.19379999,0.17005683186334775
SCHW,144098279424,3.196368,0.10381999600000001,0.8673457934388871
CHTR,139980734464,6.6666965000000005,0.14588,-0.026871271627932125
CVX,203757387776,1.5449614999999999,0.02704,0.009948279057230058
CMG,51984687104,24.791178,0.21566000000000002,0.17205879241563116
CB,80188907520,1.3573463000000001,0.14243001,0.07816641517324796
CHD,20350513152,6.335319,0.25263,0.11372307507435342
CI,70133645312,1.4638246,0.17026000000000002,-0.0020735167614621686
CINF,19149600768,1.7182713,0.31929,0.08398929471032757
CTAS,42105241600,11.03099,0.33038,0.07391740554128257
CSCO,231865286656,5.7679005,0.2692,-0.030063501477610832
C,149220343808,0.81868494,0.10967,0.15833264143652137
CFG,20725753856,1.0018324,0.08896000000000001,0.10629144467305851
CTXS,12939443200,51.487156,3.6449702,0.11424685674809743
CLX,20528842752,27.625105,0.95866996,0.01947529373893442
CME,72577089536,2.729372,0.071669996,0.6573702424905572
CMS,17532592128,3.0618743999999998,0.1472,0.10541416700823492
KO,232313323520,11.410419,0.37257,0.010592607170558432
CTSH,39693029376,3.6004403,0.1516,0.04437176005924459
CL,63946797056,243.8387,5.65737,0.05893308500731664
CMCSA,263712260096,2.848494,0.13534000000000002,0.03969037332867664
CMA,11748433920,1.5140611,0.13894,0.2006348600855563
CAG,16637970432,1.9903449,0.14725000000000002,0.004060538944259839
COP,96497033216,2.2360851999999998,0.048860002,-0.11197776328105058
ED,26615318528,1.3365197,0.062090002000000005,0.08292153790526702
STZ,41728618496,3.0791,0.10904000000000001,-0.007993207237805278
COO,20431968256,3.3122566,0.48109,0.07379074029803179
CPRT,33329108992,10.257009,0.30596,0.35627176298478136
GLW,31449126912,2.562964,0.14229,0.06495259187487012
CTVA,31319422976,1.3084315,0.053150002,0.005943816779489186
COST,200410382336,12.807771,0.27616,0.06681546547627626
CTRA,420067456,0.1895861921273887,0.12229000000000001,0.008086699077050508
CCI,74704044032,8.368434,0.12136000000000001,0.008086954260602797
CSX,24373131264,1.8533662999999998,0.2637,0.040149515121415735
CMI,34337239040,4.2344584,0.26437,0.14627349647869492
CVS,110855192576,1.5604151,0.10172,0.03715907915971761
DHI,30385197056,2.3439283,0.26598,0.21181423244012154
DHR,215845339136,5.808476,0.1398,0.22678070938436257
DRI,20385339392,7.915058,0.24586001000000002,0.07138476387729864
DVA,12156713984,9.820693,0.34467000000000003,-0.018651184300929158
DE,107336130560,7.112089,0.38009998,0.028488857843338655
DAL,27939780608,57.77778,-1.33567,0.11566354676749513
XRAY,12662444032,2.5686448,0.036170002,0.08590026734859935
DVN,25992960000,3.1030304,0.050640002,-0.2773930159655902
DXCM,52142858240,27.396475,0.31663,0.7914405010438412
FANG,19024828416,1.7825408999999999,-0.31184,-0.25124304109472606
DLR,40461381632,2.424943,0.0322,0.5639017742703125
DFS,38991589376,3.2081463,0.42613998000000003,-0.009710867047966643
DISCA,12445143040,1.6036363,0.095,0.010434267081665949
DISCK,13320163328,1.5375758,0.095,0.010434267081665949
DISH,23915589632,1.7492665,0.19041000000000002,0.1507334054849796
DG,49799098368,7.9678764,0.39858000000000005,0.13307902831814333
DLTR,22796439552,3.0738435,0.21084999000000001,0.05728852696862252
D,59561799680,2.4482827,0.07534,-0.07626441154657448
DPZ,18742855680,-5.67895666259141,-0.1488593066608492,0.13391004361504155
DOV,22999535616,6.5728860000000005,0.25839,0.05566621838895247
DOW,43706322944,3.1211991,0.28656000000000004,0.015630163241028283
DTE,22290229248,1.7758365,0.10871000600000001,0.0763698306047127
DUK,77660151808,1.6877016999999999,0.056490000000000005,0.022349815535325224
DRE,19015489536,3.663488,0.07063000000000001,0.0820410799184188
DD,37537296384,1.3805116,0.035980000000000005,0.022422817920950466
DXC,8821682176,1.5587045,0.06487000000000001,-0.15258017380604472
EMN,14312656896,2.2954154,0.054759998000000004,0.004685157421289388
ETN,61337120768,4.0904617,0.1272,-0.02990397805212619
EBAY,50529202176,13.39776,0.28823000000000004,0.06250687795752174
ECL,61896781824,9.836863,0.16858,-0.13144313841996058
EIX,21673498624,1.5387517,0.04828,0.07750613525519556
EW,68933328896,14.801121,0.32598000000000005,0.11544211710670305
EA,39574458368,4.9838805,0.08717000000000001,0.1958243340532757
EMR,58374791168,6.3938518,0.27682,0.11635849148655897
ENPH,21335955456,29.111275,0.18447000000000002,0.682646241077475
ETR,20757489664,1.8841055999999998,0.11343,0.12596301687312428
EOG,50071072768,2.4660094,0.09107999500000001,-0.03555611954205684
EFX,31564888064,9.51291,0.23289,0.21529902642559118
EQIX,68662099968,6.491332,0.03255,0.12689956005719027
EQR,31278036992,3.0344703,0.0671,-0.04184044137070597
ESS,21402187776,3.5521107,0.06801,0.018163293495957022
EL,114115158016,20.64603,0.5270400000000001,0.23564478938192446
ETSY,27520342016,40.148342,0.9144100000000001,0.558975512723425
EVRG,14379688960,1.6167033,0.09191,0.04384448662029028
ES,29568985088,2.0772607,0.08839000000000001,0.12099244442072221
RE,10665017344,1.1014017,0.13485,0.19998154739207585
EXC,47598190592,1.4867381,0.038130000000000004,0.03472638965569663
EXPE,25316554752,16.384558,-0.51322,-0.1272880089652596
EXPD,19501266944,6.7803874,0.35127,0.33468521762872294
EXR,23058718720,7.889366,0.22410000000000002,0.10119934925519591
XOM,256806535168,1.6359664999999999,-0.07788,-0.08231452549248885
FFIV,12130435072,6.055929,0.13902001,0.3798054730073519
FB,933490196480,6.997832,0.31332000000000004,0.19448776391554712
FAST,30285688832,10.867863,0.30647,0.043369562356904146
FRT,9457657856,4.052947,0.060730000000000006,0.11959278244919203
FDX,59157999616,2.6913328,0.24638000000000002,0.12565103281341372
FIS,75463155712,1.5254792,0.0019600000000000004,0.0004295635157387512
FITB,30787346432,1.5236804,0.11431000000000001,0.2084856142505418
FE,19814279168,2.6921372,0.18541001000000001,0.051133542942247256
FRC,35777978368,3.312656,0.10873000000000001,0.2256810586188971
FISV,72851185664,2.286683,0.036050000000000006,-0.03765846864158684
FLT,21985957888,6.5772347,0.24139999,-0.08604796277368876
FMC,11582176256,3.8496468,0.19409999,0.031774489248128646
F,59435520000,1.7569321,0.10402001,0.03374371946761978
FTNT,50566516736,51.55178,0.64588,0.04261187873788419
FTV,24180914176,2.6839256000000002,0.19634001,-0.07956304833992778
FBHS,13208799232,4.5877204,0.2631,0.16966286776977735
FOXA,23916292096,2.2172542,0.19115000000000001,0.11487005997232047
FOX,23211094016,2.0431352,0.19115000000000001,0.11487005997232047
BEN,15419876352,1.4827235,0.12217000000000001,0.3914548382213292
FCX,50296987648,4.601153,0.18766001000000002,0.03271337205028302
GPS,8922734592,3.1747952,0.28561002,0.00657942832078362
GRMN,30089906176,5.2642198,0.22934000000000002,0.14019818061201605
IT,26279153664,29.817364,0.7530800000000001,0.023027021403399184
GNRC,26288539648,17.241123,0.33971,0.21373771462248303
GD,57748234240,3.683826,0.22207001,0.03969685302640369
GE,926234378240,27.584314,0.06566000000000001,-0.044215750234748885
GIS,37403422720,4.2199435,0.24346,0.03360307984951327
GM,81875812352,1.6344734,0.24875000000000003,0.031385257655556
GPC,18115344384,5.448423,0.07657000400000001,-0.08230537589064968
GILD,85459820544,4.5087013,0.27137,0.11001671345351882
GL,9678737408,1.3928312,0.08343009057481098,0.11815131271494606
GPN,47196180480,1.7678477,0.032309998,-0.006263848589400323
GS,132717821952,1.5686479,0.20758000000000001,0.17126433077400272
GWW,21690306560,11.944101,0.43745998,0.048293089092422914
HAL,20801628160,4.0199447,0.02918,-0.18508885999133073
HBI,5962884096,12.305475,0.07189000400000001,0.046898103967018656
HIG,25867771904,1.4907368,0.12175999600000001,0.04651425505175322
HAS,12286286848,4.2081704,0.15117,0.22163950427908663
HCA,80111091712,327.4054,4.84902,0.0539748768254249
PEAK,18205190144,2.4787272914582363,7.000000000000001e-05,0.1344839064167176
HSIC,11508530176,3.3540921,0.11036000400000001,0.08690004518185379
HSY,36855640064,16.334864,0.71300006,0.1217938441562112
HES,25787078656,4.5633664,0.02,-0.13593793040124869
HPE,19288586240,1.1631753,0.06196000000000001,0.04270022971642562
HLT,39320645632,-26.46073152,0.4798657718120805,0.12021127231396678
HOLX,18377029632,4.842674,0.66317004,0.11699601061765574
HD,358828998656,205.65509,18.418129,0.37756655476617995
HON,151670194176,8.432576,0.27637,0.10066633719047702
HRL,22409381888,3.3341398,0.13194,0.2218864363613584
HST,11629236224,1.8924508,-0.13271000000000002,0.04754164973587982
HWM,13951202304,3.900252345540956,0.03263,-0.3484227308962533
HPQ,33695342592,-15.123583436983843,-1.2764811490125674,0.03627453909821621
HUM,52103593984,3.671855,0.28043,0.20275847836555005
HBAN,23588489216,1.4883505,0.10257000000000001,0.12876827948111047
HII,8161524224,4.1309795,0.39946997,0.16014791637035986
IEX,16236325888,6.229933,0.17016001,0.1574462127075822
IDXX,53130731520,75.68149,1.4255201,0.25216496814417666
INFO,50751815680,5.4917693,0.07298,0.0029837386244964126
ITW,67993817088,20.767004,0.7964,0.03610299973453679
ILMN,58991296512,11.985346,0.13184,0.036768726079825065
INCY,14437945344,5.2917943,0.12788000000000002,0.03915313343547089
IR,21685719040,2.4206388,0.043270003,2.469579120214329
INTC,218778845184,2.741348,0.22193001,0.12134862734757257
