test_trial,precision,recall,f1,model
0,0.7727272727272727,0.2833333333333333,0.4146341463414634,linear_wo_poly_100p
1,0.5,0.717391304347826,0.5892857142857142,linear_wo_poly_100p
2,1.0,0.023255813953488372,0.04545454545454545,linear_wo_poly_100p
3,0.5,0.13114754098360656,0.20779220779220778,linear_wo_poly_100p
4,0.7540983606557377,0.7540983606557377,0.7540983606557377,linear_wo_poly_100p
5,0.6904761904761905,0.3625,0.47540983606557374,linear_wo_poly_100p
6,0.668918918918919,0.792,0.7252747252747253,linear_wo_poly_100p
7,0.625,0.45454545454545453,0.5263157894736842,linear_wo_poly_100p
8,0.7172413793103448,0.7938931297709924,0.753623188405797,linear_wo_poly_100p
9,0.7674418604651163,0.38372093023255816,0.5116279069767442,linear_wo_poly_100p
10,0.6114649681528662,0.8205128205128205,0.7007299270072992,linear_wo_poly_100p
11,0.5735294117647058,0.7222222222222222,0.639344262295082,linear_wo_poly_100p
12,0.6632124352331606,0.9770992366412213,0.7901234567901234,linear_wo_poly_100p
13,0.5,0.65,0.5652173913043479,linear_wo_poly_100p
14,0.5797101449275363,0.8247422680412371,0.6808510638297872,linear_wo_poly_100p
15,0.6818181818181818,0.8677685950413223,0.7636363636363637,linear_wo_poly_100p
16,0.5492227979274611,0.9724770642201835,0.7019867549668873,linear_wo_poly_100p
17,0.5714285714285714,0.08333333333333333,0.14545454545454545,linear_wo_poly_100p
18,0.5555555555555556,0.5263157894736842,0.5405405405405405,linear_wo_poly_100p
19,0.6190476190476191,0.728,0.6691176470588235,linear_wo_poly_100p
20,0.7152317880794702,0.84375,0.7741935483870966,linear_wo_poly_100p
21,0.4666666666666667,0.6363636363636364,0.5384615384615385,linear_wo_poly_100p
22,0.6666666666666666,0.16363636363636364,0.2627737226277372,linear_wo_poly_100p
23,0.6235955056179775,0.9173553719008265,0.7424749163879599,linear_wo_poly_100p
24,0.7531645569620253,0.875,0.8095238095238096,linear_wo_poly_100p
25,0.6486486486486487,0.34782608695652173,0.4528301886792453,linear_wo_poly_100p
26,0.7050359712230215,0.7205882352941176,0.7127272727272727,linear_wo_poly_100p
27,0.4967741935483871,0.927710843373494,0.6470588235294117,linear_wo_poly_100p
28,0.7454545454545455,0.4019607843137255,0.5222929936305732,linear_wo_poly_100p
29,0.46153846153846156,0.3711340206185567,0.4114285714285714,linear_wo_poly_100p
30,0.6494845360824743,0.5887850467289719,0.6176470588235294,linear_wo_poly_100p
31,0.7058823529411765,0.15584415584415584,0.2553191489361702,linear_wo_poly_100p
32,0.6893939393939394,0.8053097345132744,0.7428571428571429,linear_wo_poly_100p
33,0.5939849624060151,0.7247706422018348,0.6528925619834711,linear_wo_poly_100p
34,0.48484848484848486,0.36363636363636365,0.4155844155844156,linear_wo_poly_100p
35,0.5983606557377049,0.7373737373737373,0.6606334841628959,linear_wo_poly_100p
36,0.44642857142857145,0.5813953488372093,0.5050505050505051,linear_wo_poly_100p
37,0.4230769230769231,0.5301204819277109,0.4705882352941177,linear_wo_poly_100p
38,0.7659574468085106,0.7769784172661871,0.7714285714285715,linear_wo_poly_100p
39,0.5220125786163522,0.9222222222222223,0.6666666666666667,linear_wo_poly_100p
40,0.5208333333333334,0.5617977528089888,0.5405405405405405,linear_wo_poly_100p
41,0.75,0.49586776859504134,0.5970149253731343,linear_wo_poly_100p
42,0.7070063694267515,0.8740157480314961,0.7816901408450705,linear_wo_poly_100p
43,0.6028368794326241,0.7798165137614679,0.68,linear_wo_poly_100p
44,0.5652173913043478,0.40625,0.4727272727272727,linear_wo_poly_100p
45,0.5057471264367817,0.5432098765432098,0.5238095238095238,linear_wo_poly_100p
46,0.7286821705426356,0.6861313868613139,0.7067669172932332,linear_wo_poly_100p
47,0.7692307692307693,0.8904109589041096,0.8253968253968255,linear_wo_poly_100p
48,0.5816326530612245,0.6195652173913043,0.6,linear_wo_poly_100p
49,0.648936170212766,0.953125,0.7721518987341771,linear_wo_poly_100p
50,0.6524822695035462,0.8363636363636363,0.7330677290836652,linear_wo_poly_100p
51,0.6981132075471698,0.6851851851851852,0.6915887850467289,linear_wo_poly_100p
52,0.6111111111111112,0.11578947368421053,0.19469026548672566,linear_wo_poly_100p
53,0.7112676056338029,0.808,0.7565543071161049,linear_wo_poly_100p
54,0.4589041095890411,0.7701149425287356,0.575107296137339,linear_wo_poly_100p
55,0.5887096774193549,0.6347826086956522,0.6108786610878661,linear_wo_poly_100p
56,0.6303030303030303,0.8455284552845529,0.7222222222222221,linear_wo_poly_100p
57,0.7808219178082192,0.504424778761062,0.6129032258064516,linear_wo_poly_100p
58,0.5853658536585366,0.5217391304347826,0.5517241379310345,linear_wo_poly_100p
59,0.6615384615384615,0.5058823529411764,0.5733333333333334,linear_wo_poly_100p
60,0.6422764227642277,0.7383177570093458,0.6869565217391305,linear_wo_poly_100p
61,0.7301587301587301,0.965034965034965,0.8313253012048192,linear_wo_poly_100p
62,0.6230769230769231,0.7431192660550459,0.6778242677824268,linear_wo_poly_100p
63,0.6206896551724138,0.23076923076923078,0.33644859813084116,linear_wo_poly_100p
64,0.4,0.024691358024691357,0.046511627906976744,linear_wo_poly_100p
65,0.5681818181818182,0.3246753246753247,0.4132231404958678,linear_wo_poly_100p
66,0.7777777777777778,0.6936936936936937,0.7333333333333334,linear_wo_poly_100p
67,0.5974025974025974,0.5822784810126582,0.5897435897435898,linear_wo_poly_100p
68,0.6666666666666666,0.7401574803149606,0.7014925373134329,linear_wo_poly_100p
69,0.7,0.5957446808510638,0.6436781609195402,linear_wo_poly_100p
70,0.7878787878787878,0.935251798561151,0.8552631578947368,linear_wo_poly_100p
71,0.8148148148148148,0.6027397260273972,0.6929133858267718,linear_wo_poly_100p
72,0.8125,0.5048543689320388,0.6227544910179641,linear_wo_poly_100p
73,0.7575757575757576,0.8992805755395683,0.8223684210526315,linear_wo_poly_100p
74,0.5461538461538461,0.71,0.6173913043478261,linear_wo_poly_100p
75,0.7358490566037735,0.9069767441860465,0.8124999999999999,linear_wo_poly_100p
76,0.7023809523809523,0.9007633587786259,0.7892976588628763,linear_wo_poly_100p
77,0.7058823529411765,0.8503937007874016,0.7714285714285716,linear_wo_poly_100p
78,0.47540983606557374,0.7341772151898734,0.5771144278606966,linear_wo_poly_100p
79,0.32,0.09876543209876543,0.1509433962264151,linear_wo_poly_100p
80,0.6451612903225806,0.7874015748031497,0.7092198581560284,linear_wo_poly_100p
81,0.3191489361702128,0.3333333333333333,0.3260869565217391,linear_wo_poly_100p
82,0.6867469879518072,0.8571428571428571,0.7625418060200668,linear_wo_poly_100p
83,0.6262626262626263,0.5740740740740741,0.5990338164251209,linear_wo_poly_100p
84,0.7808988764044944,0.9084967320261438,0.8398791540785498,linear_wo_poly_100p
85,0.6744186046511628,0.2815533980582524,0.3972602739726027,linear_wo_poly_100p
86,0.6097560975609756,0.6818181818181818,0.6437768240343348,linear_wo_poly_100p
87,0.41379310344827586,0.32,0.3609022556390978,linear_wo_poly_100p
88,0.75,0.3829787234042553,0.5070422535211269,linear_wo_poly_100p
89,0.7294117647058823,0.9117647058823529,0.8104575163398693,linear_wo_poly_100p
90,0.6730769230769231,0.45454545454545453,0.5426356589147286,linear_wo_poly_100p
91,0.4794520547945205,0.7777777777777778,0.5932203389830508,linear_wo_poly_100p
92,0.6857142857142857,0.6605504587155964,0.6728971962616822,linear_wo_poly_100p
93,0.125,0.014084507042253521,0.02531645569620253,linear_wo_poly_100p
94,0.703125,0.9642857142857143,0.8132530120481928,linear_wo_poly_100p
95,0.6153846153846154,0.5981308411214953,0.6066350710900473,linear_wo_poly_100p
96,0.5916666666666667,0.7244897959183674,0.6513761467889908,linear_wo_poly_100p
97,0.5901639344262295,0.4675324675324675,0.5217391304347827,linear_wo_poly_100p
98,0.6645161290322581,0.7984496124031008,0.7253521126760563,linear_wo_poly_100p
99,0.5,0.19767441860465115,0.2833333333333333,linear_wo_poly_100p
0,0.7555555555555555,0.5666666666666667,0.6476190476190475,lass_wo_poly_100p
1,0.47333333333333333,0.7717391304347826,0.5867768595041323,lass_wo_poly_100p
2,0.427536231884058,0.686046511627907,0.5267857142857143,lass_wo_poly_100p
3,0.5,0.19672131147540983,0.2823529411764706,lass_wo_poly_100p
4,0.7878787878787878,0.4262295081967213,0.5531914893617021,lass_wo_poly_100p
5,0.7567567567567568,0.35,0.4786324786324787,lass_wo_poly_100p
6,0.6470588235294118,0.88,0.7457627118644068,lass_wo_poly_100p
7,0.5777777777777777,0.5252525252525253,0.5502645502645503,lass_wo_poly_100p
8,0.6702127659574468,0.9618320610687023,0.7899686520376176,lass_wo_poly_100p
9,0.6447368421052632,0.5697674418604651,0.6049382716049383,lass_wo_poly_100p
10,0.6045197740112994,0.9145299145299145,0.727891156462585,lass_wo_poly_100p
11,0.8148148148148148,0.2037037037037037,0.32592592592592595,lass_wo_poly_100p
12,0.6532663316582915,0.9923664122137404,0.787878787878788,lass_wo_poly_100p
13,0.6428571428571429,0.3,0.4090909090909091,lass_wo_poly_100p
14,0.5321100917431193,0.5979381443298969,0.5631067961165048,lass_wo_poly_100p
15,0.6753246753246753,0.859504132231405,0.7563636363636363,lass_wo_poly_100p
16,0.5459459459459459,0.926605504587156,0.6870748299319728,lass_wo_poly_100p
17,0.5,0.1875,0.2727272727272727,lass_wo_poly_100p
18,0.5147058823529411,0.7368421052631579,0.606060606060606,lass_wo_poly_100p
19,0.6,0.144,0.23225806451612901,lass_wo_poly_100p
20,0.7280701754385965,0.6484375,0.6859504132231405,lass_wo_poly_100p
21,0.6530612244897959,0.4155844155844156,0.5079365079365079,lass_wo_poly_100p
22,0.782608695652174,0.16363636363636364,0.2706766917293233,lass_wo_poly_100p
23,0.6080402010050251,1.0,0.75625,lass_wo_poly_100p
24,0.8319327731092437,0.7279411764705882,0.776470588235294,lass_wo_poly_100p
25,0.7857142857142857,0.3188405797101449,0.45360824742268036,lass_wo_poly_100p
26,0.7398373983739838,0.6691176470588235,0.7027027027027026,lass_wo_poly_100p
27,0.8918918918918919,0.39759036144578314,0.55,lass_wo_poly_100p
28,0.646551724137931,0.7352941176470589,0.6880733944954128,lass_wo_poly_100p
29,0.5,0.041237113402061855,0.0761904761904762,lass_wo_poly_100p
30,0.6825396825396826,0.40186915887850466,0.5058823529411764,lass_wo_poly_100p
31,0.4482758620689655,0.6753246753246753,0.538860103626943,lass_wo_poly_100p
32,0.7256637168141593,0.7256637168141593,0.7256637168141593,lass_wo_poly_100p
33,0.572972972972973,0.9724770642201835,0.7210884353741497,lass_wo_poly_100p
34,0.4,0.09090909090909091,0.14814814814814814,lass_wo_poly_100p
35,0.5517241379310345,0.6464646464646465,0.5953488372093024,lass_wo_poly_100p
36,0.4322916666666667,0.9651162790697675,0.5971223021582734,lass_wo_poly_100p
37,1.0,0.012048192771084338,0.02380952380952381,lass_wo_poly_100p
38,0.6903553299492385,0.9784172661870504,0.8095238095238095,lass_wo_poly_100p
39,0.6352941176470588,0.6,0.6171428571428571,lass_wo_poly_100p
40,0.46153846153846156,0.20224719101123595,0.28125,lass_wo_poly_100p
41,0.8571428571428571,0.2975206611570248,0.44171779141104295,lass_wo_poly_100p
42,0.643979057591623,0.968503937007874,0.7735849056603773,lass_wo_poly_100p
43,0.60625,0.8899082568807339,0.7211895910780669,lass_wo_poly_100p
44,0.5029585798816568,0.8854166666666666,0.6415094339622642,lass_wo_poly_100p
45,0.42857142857142855,0.1111111111111111,0.17647058823529413,lass_wo_poly_100p
46,0.7043010752688172,0.9562043795620438,0.8111455108359134,lass_wo_poly_100p
47,0.776536312849162,0.952054794520548,0.8553846153846154,lass_wo_poly_100p
48,0.5068493150684932,0.8043478260869565,0.6218487394957983,lass_wo_poly_100p
49,0.7217391304347827,0.6484375,0.6831275720164609,lass_wo_poly_100p
50,0.6338028169014085,0.4090909090909091,0.49723756906077343,lass_wo_poly_100p
51,0.5886075949367089,0.8611111111111112,0.6992481203007519,lass_wo_poly_100p
52,0.5963302752293578,0.6842105263157895,0.6372549019607843,lass_wo_poly_100p
53,0.6744186046511628,0.928,0.7811447811447813,lass_wo_poly_100p
54,0.5769230769230769,0.1724137931034483,0.26548672566371684,lass_wo_poly_100p
55,0.5670103092783505,0.9565217391304348,0.7119741100323624,lass_wo_poly_100p
56,0.6444444444444445,0.943089430894309,0.7656765676567656,lass_wo_poly_100p
57,0.6624203821656051,0.9203539823008849,0.7703703703703703,lass_wo_poly_100p
58,0.5434782608695652,0.5434782608695652,0.5434782608695652,lass_wo_poly_100p
59,0.6557377049180327,0.47058823529411764,0.547945205479452,lass_wo_poly_100p
60,0.6075949367088608,0.897196261682243,0.7245283018867924,lass_wo_poly_100p
61,0.7738095238095238,0.9090909090909091,0.8360128617363344,lass_wo_poly_100p
62,0.6351351351351351,0.43119266055045874,0.5136612021857924,lass_wo_poly_100p
63,0.8,0.15384615384615385,0.25806451612903225,lass_wo_poly_100p
64,0.3333333333333333,0.024691358024691357,0.04597701149425287,lass_wo_poly_100p
65,0.6129032258064516,0.24675324675324675,0.35185185185185186,lass_wo_poly_100p
66,0.7441860465116279,0.5765765765765766,0.6497461928934011,lass_wo_poly_100p
67,0.6666666666666666,0.25316455696202533,0.36697247706422015,lass_wo_poly_100p
68,0.6424581005586593,0.905511811023622,0.7516339869281045,lass_wo_poly_100p
69,0.75,0.574468085106383,0.6506024096385542,lass_wo_poly_100p
70,0.7764705882352941,0.9496402877697842,0.854368932038835,lass_wo_poly_100p
71,0.8974358974358975,0.4794520547945205,0.625,lass_wo_poly_100p
72,0.6923076923076923,0.6116504854368932,0.6494845360824741,lass_wo_poly_100p
73,0.7091836734693877,1.0,0.8298507462686567,lass_wo_poly_100p
74,0.55,0.88,0.676923076923077,lass_wo_poly_100p
75,0.6597938144329897,0.9922480620155039,0.7925696594427245,lass_wo_poly_100p
76,0.8144329896907216,0.6030534351145038,0.6929824561403509,lass_wo_poly_100p
77,0.6443298969072165,0.984251968503937,0.7788161993769471,lass_wo_poly_100p
78,0.75,0.1518987341772152,0.25263157894736843,lass_wo_poly_100p
79,0.38461538461538464,0.06172839506172839,0.10638297872340426,lass_wo_poly_100p
80,0.6481481481481481,0.8267716535433071,0.7266435986159169,lass_wo_poly_100p
81,0.36666666666666664,0.24444444444444444,0.29333333333333333,lass_wo_poly_100p
82,0.655,0.9849624060150376,0.7867867867867868,lass_wo_poly_100p
83,0.6068965517241379,0.8148148148148148,0.6956521739130435,lass_wo_poly_100p
84,0.7956204379562044,0.7124183006535948,0.7517241379310345,lass_wo_poly_100p
85,0.75,0.14563106796116504,0.24390243902439024,lass_wo_poly_100p
86,0.7142857142857143,0.5909090909090909,0.6467661691542289,lass_wo_poly_100p
87,0.5333333333333333,0.10666666666666667,0.17777777777777778,lass_wo_poly_100p
88,0.6756756756756757,0.5319148936170213,0.5952380952380952,lass_wo_poly_100p
89,0.7727272727272727,0.75,0.7611940298507464,lass_wo_poly_100p
90,0.8125,0.16883116883116883,0.2795698924731183,lass_wo_poly_100p
91,0.4631578947368421,0.9777777777777777,0.6285714285714286,lass_wo_poly_100p
92,0.6470588235294118,0.908256880733945,0.7557251908396947,lass_wo_poly_100p
93,0.3333333333333333,0.30985915492957744,0.32116788321167883,lass_wo_poly_100p
94,0.695364238410596,0.75,0.7216494845360826,lass_wo_poly_100p
95,0.5747126436781609,0.4672897196261682,0.5154639175257731,lass_wo_poly_100p
96,0.759493670886076,0.6122448979591837,0.6779661016949152,lass_wo_poly_100p
97,0.6851851851851852,0.4805194805194805,0.5648854961832062,lass_wo_poly_100p
98,0.6608187134502924,0.875968992248062,0.7533333333333334,lass_wo_poly_100p
99,0.4748201438848921,0.7674418604651163,0.5866666666666667,lass_wo_poly_100p
0,0.7,0.525,0.6,ela_wo_poly_100p
1,0.4759036144578313,0.8586956521739131,0.6124031007751939,ela_wo_poly_100p
2,0.7142857142857143,0.11627906976744186,0.2,ela_wo_poly_100p
3,0.3875,0.5081967213114754,0.4397163120567376,ela_wo_poly_100p
4,0.6946564885496184,0.7459016393442623,0.7193675889328064,ela_wo_poly_100p
5,0.6333333333333333,0.475,0.5428571428571427,ela_wo_poly_100p
6,0.7052631578947368,0.536,0.6090909090909091,ela_wo_poly_100p
7,0.6271186440677966,0.37373737373737376,0.46835443037974683,ela_wo_poly_100p
8,0.6941176470588235,0.9007633587786259,0.7840531561461793,ela_wo_poly_100p
9,0.6875,0.38372093023255816,0.49253731343283585,ela_wo_poly_100p
10,0.6493506493506493,0.8547008547008547,0.7380073800738007,ela_wo_poly_100p
11,0.75,0.16666666666666666,0.27272727272727276,ela_wo_poly_100p
12,0.656084656084656,0.9465648854961832,0.775,ela_wo_poly_100p
13,0.6190476190476191,0.21666666666666667,0.32098765432098764,ela_wo_poly_100p
14,0.575,0.711340206185567,0.6359447004608295,ela_wo_poly_100p
15,0.7872340425531915,0.6115702479338843,0.6883720930232557,ela_wo_poly_100p
16,0.572289156626506,0.8715596330275229,0.6909090909090909,ela_wo_poly_100p
17,0.5833333333333334,0.14583333333333334,0.23333333333333336,ela_wo_poly_100p
18,0.524822695035461,0.7789473684210526,0.6271186440677967,ela_wo_poly_100p
19,0.7450980392156863,0.304,0.4318181818181818,ela_wo_poly_100p
20,0.6684491978609626,0.9765625,0.7936507936507937,ela_wo_poly_100p
21,0.4233576642335766,0.7532467532467533,0.5420560747663552,ela_wo_poly_100p
22,0.5974842767295597,0.8636363636363636,0.7063197026022304,ela_wo_poly_100p
23,0.680327868852459,0.6859504132231405,0.6831275720164609,ela_wo_poly_100p
24,0.7727272727272727,0.875,0.8206896551724138,ela_wo_poly_100p
25,0.4672897196261682,0.7246376811594203,0.5681818181818182,ela_wo_poly_100p
26,0.7203389830508474,0.625,0.6692913385826772,ela_wo_poly_100p
27,0.8181818181818182,0.3253012048192771,0.46551724137931033,ela_wo_poly_100p
28,0.625,0.5392156862745098,0.5789473684210527,ela_wo_poly_100p
29,0.5165562913907285,0.8041237113402062,0.6290322580645161,ela_wo_poly_100p
30,0.6121212121212121,0.9439252336448598,0.7426470588235293,ela_wo_poly_100p
31,0.5555555555555556,0.06493506493506493,0.11627906976744184,ela_wo_poly_100p
32,0.7410714285714286,0.7345132743362832,0.7377777777777778,ela_wo_poly_100p
33,0.5868263473053892,0.8990825688073395,0.7101449275362319,ela_wo_poly_100p
34,0.631578947368421,0.2727272727272727,0.38095238095238093,ela_wo_poly_100p
35,0.5273972602739726,0.7777777777777778,0.6285714285714286,ela_wo_poly_100p
36,0.43915343915343913,0.9651162790697675,0.6036363636363636,ela_wo_poly_100p
37,0.23529411764705882,0.04819277108433735,0.08,ela_wo_poly_100p
38,0.7862068965517242,0.8201438848920863,0.8028169014084507,ela_wo_poly_100p
39,0.7419354838709677,0.25555555555555554,0.38016528925619836,ela_wo_poly_100p
40,0.43703703703703706,0.6629213483146067,0.5267857142857143,ela_wo_poly_100p
41,0.7674418604651163,0.2727272727272727,0.40243902439024387,ela_wo_poly_100p
42,0.6405228758169934,0.7716535433070866,0.7,ela_wo_poly_100p
43,0.5838509316770186,0.8623853211009175,0.6962962962962963,ela_wo_poly_100p
44,0.6049382716049383,0.5104166666666666,0.5536723163841808,ela_wo_poly_100p
45,0.5046728971962616,0.6666666666666666,0.5744680851063829,ela_wo_poly_100p
46,0.7101449275362319,0.7153284671532847,0.7127272727272728,ela_wo_poly_100p
47,0.770949720670391,0.9452054794520548,0.8492307692307691,ela_wo_poly_100p
48,0.496551724137931,0.782608695652174,0.6075949367088608,ela_wo_poly_100p
49,0.6402116402116402,0.9453125,0.7634069400630915,ela_wo_poly_100p
50,0.593939393939394,0.8909090909090909,0.7127272727272727,ela_wo_poly_100p
51,0.6089743589743589,0.8796296296296297,0.7196969696969697,ela_wo_poly_100p
52,0.6078431372549019,0.3263157894736842,0.4246575342465754,ela_wo_poly_100p
53,0.6948051948051948,0.856,0.7670250896057348,ela_wo_poly_100p
54,0.49411764705882355,0.4827586206896552,0.4883720930232558,ela_wo_poly_100p
55,0.6126126126126126,0.591304347826087,0.6017699115044247,ela_wo_poly_100p
56,0.6276595744680851,0.959349593495935,0.7588424437299035,ela_wo_poly_100p
57,0.7252747252747253,0.584070796460177,0.6470588235294117,ela_wo_poly_100p
58,0.43859649122807015,0.5434782608695652,0.48543689320388345,ela_wo_poly_100p
59,0.7380952380952381,0.36470588235294116,0.4881889763779527,ela_wo_poly_100p
60,0.7209302325581395,0.5794392523364486,0.6424870466321244,ela_wo_poly_100p
61,0.7445652173913043,0.958041958041958,0.8379204892966361,ela_wo_poly_100p
62,0.6287878787878788,0.7614678899082569,0.6887966804979253,ela_wo_poly_100p
63,0.6486486486486487,0.3076923076923077,0.41739130434782606,ela_wo_poly_100p
64,0.3333333333333333,0.012345679012345678,0.023809523809523808,ela_wo_poly_100p
65,0.6875,0.2857142857142857,0.4036697247706422,ela_wo_poly_100p
66,0.7254901960784313,0.6666666666666666,0.6948356807511736,ela_wo_poly_100p
67,0.5869565217391305,0.34177215189873417,0.43200000000000005,ela_wo_poly_100p
68,0.6410256410256411,0.984251968503937,0.7763975155279504,ela_wo_poly_100p
69,0.631578947368421,0.7659574468085106,0.6923076923076923,ela_wo_poly_100p
70,0.7696969696969697,0.9136690647482014,0.8355263157894737,ela_wo_poly_100p
71,0.6923076923076923,0.4931506849315068,0.576,ela_wo_poly_100p
72,0.5608108108108109,0.8058252427184466,0.6613545816733067,ela_wo_poly_100p
73,0.7318435754189944,0.9424460431654677,0.8238993710691824,ela_wo_poly_100p
74,0.5645161290322581,0.7,0.625,ela_wo_poly_100p
75,0.7283950617283951,0.9147286821705426,0.8109965635738832,ela_wo_poly_100p
76,0.7674418604651163,0.7557251908396947,0.7615384615384615,ela_wo_poly_100p
77,0.6595744680851063,0.9763779527559056,0.7873015873015873,ela_wo_poly_100p
78,0.4489795918367347,0.27848101265822783,0.34375,ela_wo_poly_100p
79,0.5111111111111111,0.2839506172839506,0.3650793650793651,ela_wo_poly_100p
80,0.6451612903225806,0.7874015748031497,0.7092198581560284,ela_wo_poly_100p
81,0.4666666666666667,0.15555555555555556,0.23333333333333334,ela_wo_poly_100p
82,0.6741573033707865,0.9022556390977443,0.7717041800643086,ela_wo_poly_100p
83,0.5849056603773585,0.5740740740740741,0.5794392523364486,ela_wo_poly_100p
84,0.8015873015873016,0.6601307189542484,0.7240143369175627,ela_wo_poly_100p
85,0.6197183098591549,0.42718446601941745,0.5057471264367815,ela_wo_poly_100p
86,0.5796178343949044,0.8272727272727273,0.6816479400749064,ela_wo_poly_100p
87,0.41935483870967744,0.17333333333333334,0.2452830188679245,ela_wo_poly_100p
88,0.631578947368421,0.5106382978723404,0.5647058823529411,ela_wo_poly_100p
89,0.7371428571428571,0.9485294117647058,0.8295819935691318,ela_wo_poly_100p
90,0.5824175824175825,0.6883116883116883,0.630952380952381,ela_wo_poly_100p
91,0.4782608695652174,0.12222222222222222,0.19469026548672566,ela_wo_poly_100p
92,0.6407766990291263,0.6055045871559633,0.6226415094339623,ela_wo_poly_100p
93,0.0,0.0,0.0,ela_wo_poly_100p
94,0.708994708994709,0.9571428571428572,0.8145896656534953,ela_wo_poly_100p
95,0.5520833333333334,0.9906542056074766,0.7090301003344481,ela_wo_poly_100p
96,0.5934959349593496,0.7448979591836735,0.6606334841628959,ela_wo_poly_100p
